row_index,raw_trial_index,original_trial_number,direction,heldout_fold_zero_based,delay
0,31,244,1,1,short
1,7,609,1,2,short
2,9,158,1,1,short
3,18,265,1,3,short
4,3,752,1,4,short
5,33,349,1,3,short
6,28,448,1,2,short
7,17,74,1,0,short
8,13,485,1,4,short
9,10,22,1,2,short
10,20,451,1,2,short
11,5,99,1,0,short
12,1,224,1,0,short
13,16,545,1,3,short
14,23,386,1,0,short
15,11,55,1,1,short
16,22,87,1,4,short
17,24,513,1,1,short
18,19,336,1,2,short
19,12,659,1,0,short
20,6,321,1,4,short
21,14,20,1,0,short
22,30,649,1,4,short
23,2,658,1,2,short
24,25,216,1,2,short
25,29,620,1,1,short
26,32,306,1,1,short
27,21,548,1,1,short
28,27,264,1,4,short
29,4,661,1,3,short
30,15,745,1,3,short
31,0,81,1,0,short
32,26,217,1,3,short
33,45,168,2,1,short
34,57,424,2,2,short
35,37,301,2,3,short
36,39,671,2,1,short
37,49,112,2,4,short
38,61,256,2,0,short
39,65,401,2,0,short
40,56,157,2,4,short
41,62,585,2,3,short
42,66,248,2,2,short
43,60,13,2,0,short
44,38,408,2,3,short
45,59,313,2,1,short
46,54,103,2,2,short
47,48,477,2,3,short
48,55,479,2,0,short
49,67,719,2,4,short
50,53,748,2,2,short
51,40,262,2,4,short
52,51,155,2,1,short
53,63,395,2,1,short
54,36,70,2,0,short
55,34,676,2,4,short
56,68,118,2,4,short
57,58,731,2,3,short
58,43,71,2,0,short
59,52,482,2,3,short
60,41,505,2,2,short
61,44,167,2,4,short
62,35,245,2,3,short
63,64,128,2,1,short
64,42,15,2,2,short
65,50,315,2,0,short
66,77,72,3,0,short
67,75,57,3,2,short
68,83,94,3,3,short
69,100,633,3,1,short
70,92,695,3,0,short
71,88,18,3,4,short
72,96,496,3,3,short
73,78,577,3,4,short
74,81,560,3,3,short
75,87,41,3,3,short
76,101,23,3,1,short
77,71,369,3,0,short
78,84,173,3,3,short
79,82,263,3,0,short
80,70,97,3,2,short
81,74,473,3,3,short
82,95,291,3,2,short
83,69,551,3,4,short
84,94,405,3,2,short
85,97,277,3,1,short
86,79,778,3,1,short
87,72,199,3,4,short
88,76,555,3,2,short
89,91,93,3,4,short
90,80,307,3,3,short
91,73,406,3,2,short
92,89,211,3,1,short
93,85,470,3,4,short
94,99,738,3,0,short
95,86,374,3,1,short
96,98,329,3,0,short
97,93,293,3,2,short
98,90,741,3,1,short
99,105,162,4,4,short
100,137,490,4,2,short
101,133,363,4,3,short
102,118,131,4,1,short
103,115,19,4,4,short
104,107,768,4,1,short
105,114,292,4,3,short
106,110,642,4,1,short
107,135,21,4,2,short
108,104,491,4,2,short
109,108,316,4,1,short
110,138,40,4,3,short
111,128,129,4,2,short
112,121,288,4,0,short
113,136,628,4,0,short
114,106,232,4,2,short
115,120,348,4,1,short
116,116,14,4,0,short
117,124,132,4,0,short
118,140,125,4,4,short
119,134,550,4,0,short
120,126,457,4,1,short
121,129,203,4,4,short
122,112,558,4,4,short
123,113,228,4,0,short
124,139,480,4,4,short
125,119,461,4,2,short
126,122,568,4,1,short
127,109,458,4,4,short
128,125,634,4,3,short
129,131,754,4,0,short
130,132,314,4,3,short
131,123,774,4,3,short
132,164,511,5,1,short
133,162,138,5,2,short
134,174,412,5,1,short
135,160,341,5,3,short
136,166,139,5,0,short
137,158,25,5,1,short
138,141,601,5,3,short
139,170,567,5,0,short
140,144,476,5,3,short
141,146,767,5,3,short
142,142,646,5,4,short
143,143,429,5,1,short
144,154,338,5,4,short
145,153,769,5,2,short
146,155,225,5,3,short
147,149,229,5,2,short
148,161,737,5,0,short
149,167,286,5,4,short
150,169,255,5,4,short
151,168,227,5,0,short
152,175,194,5,2,short
153,165,397,5,2,short
154,157,281,5,4,short
155,145,102,5,1,short
156,159,335,5,0,short
157,156,766,5,1,short
158,173,137,5,0,short
159,150,652,5,2,short
160,152,327,5,2,short
161,171,6,5,4,short
162,172,53,5,3,short
163,163,557,5,4,short
164,148,627,5,3,short
165,183,689,6,4,short
166,212,146,6,4,short
167,198,12,6,1,short
168,188,151,6,1,short
169,196,11,6,1,short
170,209,68,6,4,short
171,206,122,6,3,short
172,203,362,6,3,short
173,208,776,6,3,short
174,178,455,6,2,short
175,186,573,6,2,short
176,211,519,6,2,short
177,201,320,6,4,short
178,180,377,6,1,short
179,207,635,6,4,short
180,181,498,6,0,short
181,190,243,6,1,short
182,202,746,6,2,short
183,197,189,6,3,short
184,184,472,6,0,short
185,176,610,6,2,short
186,187,5,6,1,short
187,205,279,6,0,short
188,195,383,6,2,short
189,194,393,6,2,short
190,210,514,6,4,short
191,189,740,6,0,short
192,200,250,6,0,short
193,199,684,6,3,short
194,191,127,6,3,short
195,204,331,6,1,short
196,177,145,6,0,short
197,182,666,6,0,short
