recording,monkey,analysis,fold,dimension,tau_samples,n_training_trials,tau_method,robust_peaks_hz,adjustment
monkeyM_session-o080417003-14_lfp-4,M,matched_short,2,5,14,96,ami_first_local_minimum,"[34.0, 46.0]",
monkeyM_session-o080417003-14_lfp-4,M,matched_short,3,3,11,96,ami_first_local_minimum,[34.0],
monkeyM_session-o080417003-14_lfp-4,M,matched_short,4,3,12,96,ami_first_local_minimum,[34.0],
monkeyM_session-o080417003-14_lfp-4,M,matched_long,0,3,10,96,ami_first_local_minimum,[32.0],
monkeyM_session-o080417003-14_lfp-4,M,matched_long,1,3,11,96,ami_first_local_minimum,[32.0],
monkeyM_session-o080417003-14_lfp-4,M,matched_long,2,5,11,96,ami_first_local_minimum,"[16.0, 32.0]",
monkeyM_session-o080417003-14_lfp-4,M,matched_long,3,5,11,96,ami_first_local_minimum,"[16.0, 32.0]",
monkeyM_session-o080417003-14_lfp-4,M,matched_long,4,5,11,96,ami_first_local_minimum,"[16.0, 32.0]",
monkeyM_session-o080422011-21_lfp-2,M,short,0,5,29,96,ami_first_local_minimum,"[18.0, 34.0]",
monkeyM_session-o080422011-21_lfp-2,M,short,1,3,31,96,ami_first_local_minimum,[18.0],
monkeyM_session-o080422011-21_lfp-2,M,short,2,5,31,96,ami_first_local_minimum,"[18.0, 34.0]",
monkeyM_session-o080422011-21_lfp-2,M,short,3,3,30,96,ami_first_local_minimum,[18.0],
monkeyM_session-o080422011-21_lfp-2,M,short,4,3,29,96,ami_first_local_minimum,[18.0],
monkeyM_session-o080422011-21_lfp-2,M,matched_short,0,5,29,96,ami_first_local_minimum,"[18.0, 34.0]",
monkeyM_session-o080422011-21_lfp-2,M,matched_short,1,3,31,96,ami_first_local_minimum,[18.0],
monkeyM_session-o080422011-21_lfp-2,M,matched_short,2,5,31,96,ami_first_local_minimum,"[18.0, 34.0]",
monkeyM_session-o080422011-21_lfp-2,M,matched_short,3,3,30,96,ami_first_local_minimum,[18.0],
monkeyM_session-o080422011-21_lfp-2,M,matched_short,4,3,29,96,ami_first_local_minimum,[18.0],
monkeyM_session-o080422011-21_lfp-2,M,matched_long,0,3,27,96,ami_first_local_minimum,[16.0],
monkeyM_session-o080422011-21_lfp-2,M,matched_long,1,3,28,96,ami_first_local_minimum,[16.0],
monkeyM_session-o080422011-21_lfp-2,M,matched_long,2,3,27,96,ami_first_local_minimum,[16.0],
monkeyM_session-o080422011-21_lfp-2,M,matched_long,3,5,26,96,ami_first_local_minimum,"[16.0, 30.0]",
monkeyM_session-o080422011-21_lfp-2,M,matched_long,4,3,27,96,ami_first_local_minimum,[16.0],
monkeyM_session-o080423001-5_lfp-6,M,short,0,5,18,76,ami_first_local_minimum,"[20.0, 36.0]",
monkeyM_session-o080423001-5_lfp-6,M,short,1,5,18,77,ami_first_local_minimum,"[20.0, 36.0]",
monkeyM_session-o080423001-5_lfp-6,M,short,2,3,19,77,ami_first_local_minimum,[20.0],
monkeyM_session-o080423001-5_lfp-6,M,short,3,5,19,77,ami_first_local_minimum,"[20.0, 36.0]",
monkeyM_session-o080423001-5_lfp-6,M,short,4,5,17,77,ami_first_local_minimum,"[20.0, 36.0]",
monkeyM_session-o080423001-5_lfp-6,M,matched_short,0,5,21,72,ami_first_local_minimum,"[20.0, 38.0]",
monkeyM_session-o080423001-5_lfp-6,M,matched_short,1,5,18,72,ami_first_local_minimum,"[20.0, 36.0]",
monkeyM_session-o080423001-5_lfp-6,M,matched_short,2,5,18,72,ami_first_local_minimum,"[20.0, 36.0]",
monkeyM_session-o080423001-5_lfp-6,M,matched_short,3,5,21,72,ami_first_local_minimum,"[20.0, 38.0]",
monkeyM_session-o080423001-5_lfp-6,M,matched_short,4,5,17,72,ami_first_local_minimum,"[20.0, 36.0]",
monkeyM_session-o080423001-5_lfp-6,M,matched_long,0,5,22,72,ami_first_local_minimum,"[16.0, 34.0]",
monkeyM_session-o080423001-5_lfp-6,M,matched_long,1,5,21,72,ami_first_local_minimum,"[18.0, 34.0]",
monkeyM_session-o080423001-5_lfp-6,M,matched_long,2,5,20,72,ami_first_local_minimum,"[18.0, 34.0]",
monkeyM_session-o080423001-5_lfp-6,M,matched_long,3,5,21,72,ami_first_local_minimum,"[16.0, 34.0]",
monkeyM_session-o080423001-5_lfp-6,M,matched_long,4,5,21,72,ami_first_local_minimum,"[18.0, 34.0]",
monkeyM_session-o080423001-5_lfp-8,M,short,0,5,23,76,ami_first_local_minimum,"[20.0, 36.0]",
monkeyM_session-o080423001-5_lfp-8,M,short,1,5,24,77,ami_first_local_minimum,"[20.0, 36.0]",
monkeyM_session-o080423001-5_lfp-8,M,short,2,5,23,77,ami_first_local_minimum,"[20.0, 36.0]",
monkeyM_session-o080423001-5_lfp-8,M,short,3,5,24,77,ami_first_local_minimum,"[20.0, 36.0]",
monkeyM_session-o080423001-5_lfp-8,M,short,4,5,23,77,ami_first_local_minimum,"[20.0, 36.0]",
monkeyM_session-o080423001-5_lfp-8,M,matched_short,0,5,23,72,ami_first_local_minimum,"[20.0, 36.0]",
monkeyM_session-o080423001-5_lfp-8,M,matched_short,1,5,24,72,ami_first_local_minimum,"[20.0, 36.0]",
monkeyM_session-o080423001-5_lfp-8,M,matched_short,2,5,23,72,ami_first_local_minimum,"[20.0, 36.0]",
monkeyM_session-o080423001-5_lfp-8,M,matched_short,3,5,23,72,ami_first_local_minimum,"[20.0, 36.0]",
monkeyM_session-o080423001-5_lfp-8,M,matched_short,4,5,23,72,ami_first_local_minimum,"[20.0, 36.0]",
monkeyM_session-o080423001-5_lfp-8,M,matched_long,0,5,22,72,ami_first_local_minimum,"[18.0, 32.0]",
monkeyM_session-o080423001-5_lfp-8,M,matched_long,1,5,23,72,ami_first_local_minimum,"[16.0, 34.0]",
monkeyM_session-o080423001-5_lfp-8,M,matched_long,2,5,22,72,ami_first_local_minimum,"[18.0, 32.0]",
monkeyM_session-o080423001-5_lfp-8,M,matched_long,3,5,18,72,ami_first_local_minimum,"[18.0, 34.0]",
monkeyM_session-o080423001-5_lfp-8,M,matched_long,4,5,23,72,ami_first_local_minimum,"[18.0, 34.0]",
monkeyM_session-o080424002-11_lfp-1,M,short,0,7,20,96,ami_first_local_minimum,"[8.0, 18.0, 32.0]",
monkeyM_session-o080424002-11_lfp-1,M,short,1,7,21,96,ami_first_local_minimum,"[8.0, 18.0, 32.0]",
monkeyM_session-o080424002-11_lfp-1,M,short,2,5,21,96,ami_first_local_minimum,"[18.0, 32.0]",
monkeyM_session-o080424002-11_lfp-1,M,short,3,5,20,96,ami_first_local_minimum,"[18.0, 32.0]",
monkeyM_session-o080424002-11_lfp-1,M,short,4,5,20,96,ami_first_local_minimum,"[18.0, 32.0]",
monkeyM_session-o080424002-11_lfp-1,M,matched_short,0,7,20,96,ami_first_local_minimum,"[8.0, 18.0, 32.0]",
monkeyM_session-o080424002-11_lfp-1,M,matched_short,1,7,21,96,ami_first_local_minimum,"[8.0, 18.0, 32.0]",
monkeyM_session-o080424002-11_lfp-1,M,matched_short,2,5,21,96,ami_first_local_minimum,"[18.0, 32.0]",
monkeyM_session-o080424002-11_lfp-1,M,matched_short,3,5,20,96,ami_first_local_minimum,"[18.0, 32.0]",
monkeyM_session-o080424002-11_lfp-1,M,matched_short,4,5,20,96,ami_first_local_minimum,"[18.0, 32.0]",
monkeyM_session-o080424002-11_lfp-1,M,matched_long,0,5,22,96,ami_first_local_minimum,"[18.0, 30.0]",
monkeyM_session-o080424002-11_lfp-1,M,matched_long,1,5,17,96,ami_first_local_minimum,"[18.0, 30.0]",
monkeyM_session-o080424002-11_lfp-1,M,matched_long,2,5,18,96,ami_first_local_minimum,"[18.0, 30.0]",
monkeyM_session-o080424002-11_lfp-1,M,matched_long,3,5,17,96,ami_first_local_minimum,"[18.0, 32.0]",
monkeyM_session-o080424002-11_lfp-1,M,matched_long,4,5,23,96,ami_first_local_minimum,"[18.0, 30.0]",
monkeyM_session-o080424012-22_lfp-1,M,short,0,3,18,105,ami_first_local_minimum,[32.0],
monkeyM_session-o080424012-22_lfp-1,M,short,1,3,17,105,ami_first_local_minimum,[32.0],
monkeyM_session-o080424012-22_lfp-1,M,short,2,5,17,106,ami_first_local_minimum,"[18.0, 32.0]",
monkeyM_session-o080424012-22_lfp-1,M,short,3,5,17,106,ami_first_local_minimum,"[20.0, 32.0]",
monkeyM_session-o080424012-22_lfp-1,M,short,4,5,17,106,ami_first_local_minimum,"[20.0, 32.0]",
monkeyM_session-o080424012-22_lfp-1,M,matched_short,0,3,18,105,ami_first_local_minimum,[32.0],
monkeyM_session-o080424012-22_lfp-1,M,matched_short,1,3,17,105,ami_first_local_minimum,[32.0],
monkeyM_session-o080424012-22_lfp-1,M,matched_short,2,5,17,106,ami_first_local_minimum,"[18.0, 32.0]",
monkeyM_session-o080424012-22_lfp-1,M,matched_short,3,5,17,106,ami_first_local_minimum,"[20.0, 32.0]",
monkeyM_session-o080424012-22_lfp-1,M,matched_short,4,5,17,106,ami_first_local_minimum,"[20.0, 32.0]",
monkeyM_session-o080424012-22_lfp-1,M,matched_long,0,5,12,105,ami_first_local_minimum,"[16.0, 32.0]",
monkeyM_session-o080424012-22_lfp-1,M,matched_long,1,3,12,105,ami_first_local_minimum,[32.0],
monkeyM_session-o080424012-22_lfp-1,M,matched_long,2,5,13,106,ami_first_local_minimum,"[16.0, 30.0]",
monkeyM_session-o080424012-22_lfp-1,M,matched_long,3,3,13,106,ami_first_local_minimum,[32.0],
monkeyM_session-o080424012-22_lfp-1,M,matched_long,4,5,12,106,ami_first_local_minimum,"[16.0, 30.0]",
monkeyM_session-o080425003-12_lfp-1,M,short,0,5,20,96,ami_first_local_minimum,"[20.0, 34.0]",
monkeyM_session-o080425003-12_lfp-1,M,short,1,5,21,96,ami_first_local_minimum,"[20.0, 34.0]",
monkeyM_session-o080425003-12_lfp-1,M,short,2,5,20,96,ami_first_local_minimum,"[20.0, 34.0]",
monkeyM_session-o080425003-12_lfp-1,M,short,3,5,19,96,ami_first_local_minimum,"[20.0, 34.0]",
monkeyM_session-o080425003-12_lfp-1,M,short,4,5,21,96,ami_first_local_minimum,"[20.0, 34.0]",
monkeyM_session-o080425003-12_lfp-1,M,matched_short,0,5,20,96,ami_first_local_minimum,"[20.0, 34.0]",
monkeyM_session-o080425003-12_lfp-1,M,matched_short,1,5,21,96,ami_first_local_minimum,"[20.0, 34.0]",
monkeyM_session-o080425003-12_lfp-1,M,matched_short,2,5,20,96,ami_first_local_minimum,"[20.0, 34.0]",
monkeyM_session-o080425003-12_lfp-1,M,matched_short,3,5,19,96,ami_first_local_minimum,"[20.0, 34.0]",
monkeyM_session-o080425003-12_lfp-1,M,matched_short,4,5,21,96,ami_first_local_minimum,"[20.0, 34.0]",
monkeyM_session-o080425003-12_lfp-1,M,matched_long,0,5,17,96,ami_first_local_minimum,"[16.0, 32.0]",
monkeyM_session-o080425003-12_lfp-1,M,matched_long,1,5,17,96,ami_first_local_minimum,"[16.0, 32.0]",
monkeyM_session-o080425003-12_lfp-1,M,matched_long,2,5,16,96,ami_first_local_minimum,"[16.0, 32.0]",
monkeyM_session-o080425003-12_lfp-1,M,matched_long,3,5,16,96,ami_first_local_minimum,"[16.0, 32.0]",
monkeyM_session-o080425003-12_lfp-1,M,matched_long,4,5,16,96,ami_first_local_minimum,"[16.0, 32.0]",
monkeyM_session-o080429002-7_lfp-2,M,short,0,5,12,96,ami_first_local_minimum,"[22.0, 34.0]",
monkeyM_session-o080429002-7_lfp-2,M,short,1,5,12,96,ami_first_local_minimum,"[22.0, 34.0]",
monkeyM_session-o080429002-7_lfp-2,M,short,2,5,12,96,ami_first_local_minimum,"[20.0, 34.0]",
monkeyM_session-o080429002-7_lfp-2,M,short,3,5,12,96,ami_first_local_minimum,"[20.0, 34.0]",
monkeyM_session-o080429002-7_lfp-2,M,short,4,5,12,96,ami_first_local_minimum,"[22.0, 34.0]",
monkeyM_session-o080429002-7_lfp-2,M,matched_short,0,5,12,96,ami_first_local_minimum,"[22.0, 34.0]",
monkeyM_session-o080429002-7_lfp-2,M,matched_short,1,5,12,96,ami_first_local_minimum,"[22.0, 34.0]",
monkeyM_session-o080429002-7_lfp-2,M,matched_short,2,5,12,96,ami_first_local_minimum,"[20.0, 34.0]",
monkeyM_session-o080429002-7_lfp-2,M,matched_short,3,5,12,96,ami_first_local_minimum,"[20.0, 34.0]",
monkeyM_session-o080429002-7_lfp-2,M,matched_short,4,5,12,96,ami_first_local_minimum,"[22.0, 34.0]",
monkeyM_session-o080429002-7_lfp-2,M,matched_long,0,5,14,96,ami_first_local_minimum,"[18.0, 34.0]",
monkeyM_session-o080429002-7_lfp-2,M,matched_long,1,5,14,96,ami_first_local_minimum,"[18.0, 34.0]",
monkeyM_session-o080429002-7_lfp-2,M,matched_long,2,5,14,96,ami_first_local_minimum,"[18.0, 34.0]",
monkeyM_session-o080429002-7_lfp-2,M,matched_long,3,5,14,96,ami_first_local_minimum,"[18.0, 34.0]",
monkeyM_session-o080429002-7_lfp-2,M,matched_long,4,5,14,96,ami_first_local_minimum,"[18.0, 34.0]",
monkeyM_session-o080430002-12_lfp-1,M,short,0,9,13,96,ami_first_local_minimum,"[6.0, 20.0, 34.0, 46.0]",
monkeyM_session-o080430002-12_lfp-1,M,short,1,9,15,96,ami_first_local_minimum,"[6.0, 20.0, 34.0, 46.0]",
monkeyM_session-o080430002-12_lfp-1,M,short,2,9,14,96,ami_first_local_minimum,"[6.0, 20.0, 34.0, 46.0]",
monkeyM_session-o080430002-12_lfp-1,M,short,3,9,15,96,ami_first_local_minimum,"[8.0, 20.0, 34.0, 46.0]",
monkeyM_session-o080430002-12_lfp-1,M,short,4,9,13,96,ami_first_local_minimum,"[6.0, 20.0, 34.0, 46.0]",
monkeyM_session-o080430002-12_lfp-1,M,matched_short,0,9,13,96,ami_first_local_minimum,"[6.0, 20.0, 34.0, 46.0]",
monkeyM_session-o080430002-12_lfp-1,M,matched_short,1,9,15,96,ami_first_local_minimum,"[6.0, 20.0, 34.0, 46.0]",
monkeyM_session-o080430002-12_lfp-1,M,matched_short,2,9,14,96,ami_first_local_minimum,"[6.0, 20.0, 34.0, 46.0]",
monkeyM_session-o080430002-12_lfp-1,M,matched_short,3,9,15,96,ami_first_local_minimum,"[8.0, 20.0, 34.0, 46.0]",
monkeyM_session-o080430002-12_lfp-1,M,matched_short,4,9,13,96,ami_first_local_minimum,"[6.0, 20.0, 34.0, 46.0]",
monkeyM_session-o080430002-12_lfp-1,M,matched_long,0,7,14,96,ami_first_local_minimum,"[16.0, 32.0, 46.0]",
monkeyM_session-o080430002-12_lfp-1,M,matched_long,1,7,21,96,ami_first_local_minimum,"[16.0, 32.0, 46.0]",
monkeyM_session-o080430002-12_lfp-1,M,matched_long,2,7,14,96,ami_first_local_minimum,"[16.0, 32.0, 46.0]",
monkeyM_session-o080430002-12_lfp-1,M,matched_long,3,7,15,96,ami_first_local_minimum,"[16.0, 34.0, 46.0]",
monkeyM_session-o080430002-12_lfp-1,M,matched_long,4,7,14,96,ami_first_local_minimum,"[16.0, 32.0, 46.0]",
monkeyM_session-o080430013-23_lfp-1,M,short,0,3,12,96,ami_first_local_minimum,[20.0],
monkeyM_session-o080430013-23_lfp-1,M,short,1,5,12,96,ami_first_local_minimum,"[20.0, 32.0]",
monkeyM_session-o080430013-23_lfp-1,M,short,2,5,13,96,ami_first_local_minimum,"[20.0, 32.0]",
monkeyM_session-o080430013-23_lfp-1,M,short,3,5,13,96,ami_first_local_minimum,"[20.0, 32.0]",
monkeyM_session-o080430013-23_lfp-1,M,short,4,5,12,96,ami_first_local_minimum,"[20.0, 30.0]",
monkeyM_session-o080430013-23_lfp-1,M,matched_short,0,3,12,96,ami_first_local_minimum,[20.0],
monkeyM_session-o080430013-23_lfp-1,M,matched_short,1,5,12,96,ami_first_local_minimum,"[20.0, 32.0]",
monkeyM_session-o080430013-23_lfp-1,M,matched_short,2,5,13,96,ami_first_local_minimum,"[20.0, 32.0]",
monkeyM_session-o080430013-23_lfp-1,M,matched_short,3,5,13,96,ami_first_local_minimum,"[20.0, 32.0]",
monkeyM_session-o080430013-23_lfp-1,M,matched_short,4,5,12,96,ami_first_local_minimum,"[20.0, 30.0]",
monkeyM_session-o080430013-23_lfp-1,M,matched_long,0,5,13,96,ami_first_local_minimum,"[18.0, 32.0]",
monkeyM_session-o080430013-23_lfp-1,M,matched_long,1,5,12,96,ami_first_local_minimum,"[18.0, 32.0]",
monkeyM_session-o080430013-23_lfp-1,M,matched_long,2,5,13,96,ami_first_local_minimum,"[18.0, 32.0]",
monkeyM_session-o080430013-23_lfp-1,M,matched_long,3,5,12,96,ami_first_local_minimum,"[18.0, 32.0]",
monkeyM_session-o080430013-23_lfp-1,M,matched_long,4,5,12,96,ami_first_local_minimum,"[18.0, 32.0]",
monkeyM_session-o080430013-23_lfp-2,M,short,0,3,26,96,ami_first_local_minimum,[20.0],
monkeyM_session-o080430013-23_lfp-2,M,short,1,3,20,96,ami_first_local_minimum,[20.0],
monkeyM_session-o080430013-23_lfp-2,M,short,2,3,21,96,ami_first_local_minimum,[20.0],
monkeyM_session-o080430013-23_lfp-2,M,short,3,5,26,96,ami_first_local_minimum,"[18.0, 46.0]",
monkeyM_session-o080430013-23_lfp-2,M,short,4,3,25,96,ami_first_local_minimum,[20.0],
monkeyM_session-o080430013-23_lfp-2,M,matched_short,0,3,26,96,ami_first_local_minimum,[20.0],
monkeyM_session-o080430013-23_lfp-2,M,matched_short,1,3,20,96,ami_first_local_minimum,[20.0],
monkeyM_session-o080430013-23_lfp-2,M,matched_short,2,3,21,96,ami_first_local_minimum,[20.0],
monkeyM_session-o080430013-23_lfp-2,M,matched_short,3,5,26,96,ami_first_local_minimum,"[18.0, 46.0]",
monkeyM_session-o080430013-23_lfp-2,M,matched_short,4,3,25,96,ami_first_local_minimum,[20.0],
monkeyM_session-o080430013-23_lfp-2,M,matched_long,0,5,22,96,ami_first_local_minimum,"[18.0, 30.0]",
monkeyM_session-o080430013-23_lfp-2,M,matched_long,1,5,20,96,ami_first_local_minimum,"[16.0, 30.0]",
monkeyM_session-o080430013-23_lfp-2,M,matched_long,2,5,24,96,ami_first_local_minimum,"[16.0, 30.0]",
monkeyM_session-o080430013-23_lfp-2,M,matched_long,3,5,21,96,ami_first_local_minimum,"[18.0, 30.0]",
monkeyM_session-o080430013-23_lfp-2,M,matched_long,4,5,24,96,ami_first_local_minimum,"[16.0, 30.0]",
monkeyM_session-o080506002-22_lfp-1,M,short,0,3,11,158,ami_first_local_minimum,[30.0],
monkeyM_session-o080506002-22_lfp-1,M,short,1,3,11,158,ami_first_local_minimum,[30.0],
monkeyM_session-o080506002-22_lfp-1,M,short,2,3,11,158,ami_first_local_minimum,[30.0],
monkeyM_session-o080506002-22_lfp-1,M,short,3,3,11,159,ami_first_local_minimum,[30.0],
monkeyM_session-o080506002-22_lfp-1,M,short,4,3,11,159,ami_first_local_minimum,[30.0],
monkeyM_session-o080506002-22_lfp-1,M,matched_short,0,3,11,139,ami_first_local_minimum,[30.0],
monkeyM_session-o080506002-22_lfp-1,M,matched_short,1,3,11,139,ami_first_local_minimum,[30.0],
monkeyM_session-o080506002-22_lfp-1,M,matched_short,2,3,11,139,ami_first_local_minimum,[30.0],
monkeyM_session-o080506002-22_lfp-1,M,matched_short,3,3,11,139,ami_first_local_minimum,[30.0],
monkeyM_session-o080506002-22_lfp-1,M,matched_short,4,3,11,140,ami_first_local_minimum,[30.0],
monkeyM_session-o080506002-22_lfp-1,M,matched_long,0,3,11,139,ami_first_local_minimum,[30.0],
monkeyM_session-o080506002-22_lfp-1,M,matched_long,1,3,11,139,ami_first_local_minimum,[30.0],
monkeyM_session-o080506002-22_lfp-1,M,matched_long,2,3,11,139,ami_first_local_minimum,[30.0],
monkeyM_session-o080506002-22_lfp-1,M,matched_long,3,3,11,139,ami_first_local_minimum,[30.0],
monkeyM_session-o080506002-22_lfp-1,M,matched_long,4,3,11,140,ami_first_local_minimum,[30.0],
monkeyM_session-o080506002-22_lfp-2,M,short,0,3,11,158,ami_first_local_minimum,[30.0],
monkeyM_session-o080506002-22_lfp-2,M,short,1,3,11,158,ami_first_local_minimum,[30.0],
monkeyM_session-o080506002-22_lfp-2,M,short,2,3,11,158,ami_first_local_minimum,[30.0],
monkeyM_session-o080506002-22_lfp-2,M,short,3,3,11,159,ami_first_local_minimum,[30.0],
monkeyM_session-o080506002-22_lfp-2,M,short,4,3,11,159,ami_first_local_minimum,[32.0],
monkeyM_session-o080506002-22_lfp-2,M,matched_short,0,3,11,139,ami_first_local_minimum,[30.0],
monkeyM_session-o080506002-22_lfp-2,M,matched_short,1,3,11,139,ami_first_local_minimum,[30.0],
monkeyM_session-o080506002-22_lfp-2,M,matched_short,2,3,11,139,ami_first_local_minimum,[32.0],
monkeyM_session-o080506002-22_lfp-2,M,matched_short,3,3,11,139,ami_first_local_minimum,[30.0],
monkeyM_session-o080506002-22_lfp-2,M,matched_short,4,3,11,140,ami_first_local_minimum,[30.0],
monkeyM_session-o080506002-22_lfp-2,M,matched_long,0,3,11,139,ami_first_local_minimum,[30.0],
monkeyM_session-o080506002-22_lfp-2,M,matched_long,1,3,11,139,ami_first_local_minimum,[30.0],
monkeyM_session-o080506002-22_lfp-2,M,matched_long,2,3,11,139,ami_first_local_minimum,[30.0],
