row_index,raw_trial_index,original_trial_number,direction,heldout_fold_zero_based,delay
0,5,159,1,1,short
1,6,16,1,4,short
2,12,566,1,4,short
3,20,673,1,2,short
4,28,263,1,3,short
5,9,389,1,4,short
6,2,684,1,0,short
7,31,437,1,3,short
8,15,56,1,3,short
9,13,82,1,4,short
10,30,517,1,0,short
11,26,124,1,2,short
12,29,526,1,3,short
13,7,382,1,2,short
14,32,80,1,2,short
15,27,366,1,1,short
16,21,156,1,1,short
17,33,690,1,1,short
18,18,265,1,0,short
19,11,445,1,1,short
20,4,462,1,2,short
21,14,152,1,3,short
22,25,188,1,0,short
23,17,195,1,1,short
24,16,205,1,4,short
25,24,262,1,0,short
26,1,571,1,0,short
27,0,601,1,3,short
28,8,349,1,1,short
29,3,236,1,0,short
30,23,569,1,4,short
31,22,276,1,2,short
32,10,40,1,2,short
33,59,98,2,3,short
34,43,260,2,3,short
35,35,622,2,4,short
36,39,198,2,3,short
37,54,628,2,1,short
38,60,647,2,3,short
39,50,10,2,0,short
40,52,412,2,0,short
41,49,670,2,4,short
42,55,150,2,3,short
43,38,521,2,4,short
44,65,131,2,0,short
45,41,579,2,2,short
46,66,419,2,1,short
47,58,580,2,3,short
48,44,428,2,2,short
49,36,543,2,4,short
50,61,387,2,4,short
51,45,158,2,1,short
52,51,275,2,4,short
53,63,254,2,0,short
54,62,220,2,0,short
55,64,589,2,2,short
56,53,530,2,3,short
57,56,531,2,0,short
58,67,91,2,1,short
59,37,96,2,2,short
60,47,197,2,1,short
61,57,281,2,2,short
62,48,401,2,4,short
63,42,34,2,2,short
64,34,479,2,0,short
65,40,117,2,1,short
66,87,663,3,4,short
67,77,14,3,4,short
68,76,540,3,0,short
69,85,128,3,1,short
70,68,420,3,2,short
71,83,503,3,3,short
72,84,636,3,2,short
73,72,307,3,3,short
74,69,612,3,3,short
75,99,609,3,2,short
76,93,46,3,4,short
77,89,615,3,0,short
78,82,510,3,4,short
79,96,43,3,0,short
80,86,147,3,3,short
81,94,406,3,4,short
82,74,200,3,1,short
83,79,48,3,0,short
84,80,177,3,2,short
85,97,319,3,3,short
86,88,137,3,3,short
87,71,309,3,2,short
88,91,416,3,0,short
89,98,669,3,1,short
90,78,572,3,1,short
91,100,477,3,0,short
92,95,323,3,1,short
93,92,196,3,2,short
94,90,494,3,3,short
95,75,51,3,4,short
96,81,432,3,1,short
97,70,144,3,2,short
98,73,216,3,1,short
99,114,312,4,2,short
100,101,400,4,2,short
101,106,333,4,2,short
102,109,459,4,4,short
103,121,606,4,1,short
104,125,86,4,0,short
105,110,242,4,0,short
106,115,248,4,1,short
107,103,89,4,4,short
108,133,691,4,4,short
109,102,94,4,3,short
110,119,17,4,0,short
111,105,109,4,4,short
112,127,695,4,3,short
113,134,116,4,2,short
114,116,361,4,1,short
115,111,283,4,3,short
116,123,511,4,2,short
117,120,206,4,4,short
118,117,520,4,2,short
119,124,119,4,0,short
120,112,85,4,0,short
121,132,199,4,3,short
122,107,536,4,0,short
123,118,339,4,1,short
124,104,701,4,0,short
125,131,704,4,4,short
126,108,592,4,3,short
127,122,440,4,1,short
128,130,388,4,3,short
129,126,121,4,1,short
130,129,291,4,1,short
131,128,573,4,4,short
132,164,705,5,2,short
133,158,45,5,4,short
134,136,410,5,0,short
135,169,142,5,3,short
136,166,706,5,3,short
137,165,328,5,1,short
138,154,143,5,3,short
139,145,44,5,2,short
140,139,164,5,4,short
141,152,560,5,2,short
142,155,194,5,0,short
143,149,243,5,1,short
144,141,403,5,1,short
145,167,568,5,0,short
146,138,581,5,2,short
147,163,63,5,2,short
148,143,294,5,3,short
149,146,367,5,1,short
150,151,436,5,4,short
151,162,241,5,1,short
152,150,457,5,0,short
153,156,36,5,3,short
154,147,485,5,4,short
155,159,700,5,4,short
156,168,6,5,4,short
157,161,157,5,0,short
158,157,476,5,4,short
159,142,271,5,2,short
160,135,399,5,1,short
161,137,300,5,3,short
162,148,446,5,2,short
163,144,542,5,3,short
164,140,693,5,0,short
165,190,258,6,0,short
166,185,550,6,3,short
167,171,100,6,3,short
168,178,129,6,4,short
169,186,186,6,4,short
170,187,650,6,1,short
171,176,438,6,3,short
172,193,290,6,1,short
173,182,289,6,2,short
174,199,67,6,2,short
175,174,458,6,3,short
176,180,90,6,2,short
177,198,77,6,2,short
178,172,292,6,4,short
179,183,649,6,1,short
180,184,524,6,0,short
181,177,105,6,4,short
182,195,372,6,3,short
183,175,617,6,3,short
184,196,527,6,4,short
185,179,555,6,1,short
186,202,342,6,0,short
187,200,211,6,2,short
188,192,539,6,4,short
189,189,24,6,0,short
190,181,538,6,1,short
191,188,642,6,0,short
192,197,379,6,2,short
193,170,483,6,1,short
194,201,9,6,0,short
195,194,113,6,2,short
196,173,187,6,0,short
197,191,376,6,1,short
