recording,outer_fold,family,max_absolute_difference,rms_difference
monkeyM_session-o080424002-11_lfp-1,2,embedding,0.0,0.0
monkeyM_session-o080424002-11_lfp-1,3,ar,1.2058970435082673e-07,2.0537035450217167e-08
monkeyM_session-o080424002-11_lfp-1,3,embedding,0.0,0.0
monkeyM_session-o080424002-11_lfp-1,4,ar,2.9780560540379822e-08,5.537452304504455e-09
monkeyM_session-o080424002-11_lfp-1,4,embedding,0.0,0.0
monkeyM_session-o080424012-22_lfp-1,0,ar,1.1737953531029688e-08,2.0899591828410417e-09
monkeyM_session-o080424012-22_lfp-1,0,embedding,0.0,0.0
monkeyM_session-o080424012-22_lfp-1,1,ar,2.7645966784882372e-08,4.080198583249813e-09
monkeyM_session-o080424012-22_lfp-1,1,embedding,0.0,0.0
monkeyM_session-o080424012-22_lfp-1,2,ar,1.4386632737222772e-08,3.0869445360062037e-09
monkeyM_session-o080424012-22_lfp-1,2,embedding,0.0,0.0
monkeyM_session-o080424012-22_lfp-1,3,ar,1.2701436310829858e-07,2.0218268258536917e-08
monkeyM_session-o080424012-22_lfp-1,3,embedding,0.0,0.0
monkeyM_session-o080424012-22_lfp-1,4,ar,3.9741477110793837e-08,8.301580966442824e-09
monkeyM_session-o080424012-22_lfp-1,4,embedding,0.0,0.0
monkeyM_session-o080425003-12_lfp-1,0,ar,8.56619031798728e-08,1.519564971948462e-08
monkeyM_session-o080425003-12_lfp-1,0,embedding,0.0,0.0
monkeyM_session-o080425003-12_lfp-1,1,ar,6.683019335238655e-08,1.2176949169752319e-08
monkeyM_session-o080425003-12_lfp-1,1,embedding,0.0,0.0
monkeyM_session-o080425003-12_lfp-1,2,ar,1.2736899714663403e-07,2.3011187907980697e-08
monkeyM_session-o080425003-12_lfp-1,2,embedding,0.0,0.0
monkeyM_session-o080425003-12_lfp-1,3,ar,4.714461254701598e-08,7.897442352811214e-09
monkeyM_session-o080425003-12_lfp-1,3,embedding,0.0,0.0
monkeyM_session-o080425003-12_lfp-1,4,ar,5.473705034554372e-08,1.0738341587711016e-08
monkeyM_session-o080425003-12_lfp-1,4,embedding,0.0,0.0
monkeyM_session-o080429002-7_lfp-2,0,ar,3.767121226321956e-08,8.190356408932014e-09
monkeyM_session-o080429002-7_lfp-2,0,embedding,0.0,0.0
monkeyM_session-o080429002-7_lfp-2,1,ar,3.1760833210398715e-08,6.7144312044660465e-09
monkeyM_session-o080429002-7_lfp-2,1,embedding,0.0,0.0
monkeyM_session-o080429002-7_lfp-2,2,ar,4.154196157088539e-08,7.520655482551713e-09
monkeyM_session-o080429002-7_lfp-2,2,embedding,0.0,0.0
monkeyM_session-o080429002-7_lfp-2,3,ar,1.4185315953395717e-07,2.6353520898445916e-08
monkeyM_session-o080429002-7_lfp-2,3,embedding,0.0,0.0
monkeyM_session-o080429002-7_lfp-2,4,ar,5.9512237464637643e-08,1.1552071934263604e-08
monkeyM_session-o080429002-7_lfp-2,4,embedding,0.0,0.0
monkeyM_session-o080430002-12_lfp-1,0,ar,3.3405093218823634e-07,5.142644954551302e-08
monkeyM_session-o080430002-12_lfp-1,0,embedding,0.0,0.0
monkeyM_session-o080430002-12_lfp-1,1,ar,9.98159088802129e-08,1.8124997598459417e-08
monkeyM_session-o080430002-12_lfp-1,1,embedding,0.0,0.0
monkeyM_session-o080430002-12_lfp-1,2,ar,7.296721656188318e-08,1.3097173727259701e-08
monkeyM_session-o080430002-12_lfp-1,2,embedding,0.0,0.0
monkeyM_session-o080430002-12_lfp-1,3,ar,1.2957326687420894e-07,2.586543146932111e-08
monkeyM_session-o080430002-12_lfp-1,3,embedding,0.0,0.0
monkeyM_session-o080430002-12_lfp-1,4,ar,1.1390130712706729e-07,2.1118968494309084e-08
monkeyM_session-o080430002-12_lfp-1,4,embedding,0.0,0.0
monkeyM_session-o080430013-23_lfp-1,0,ar,1.0603417449519918e-07,1.5589458976262834e-08
monkeyM_session-o080430013-23_lfp-1,0,embedding,0.0,0.0
monkeyM_session-o080430013-23_lfp-1,1,ar,1.0631239769846434e-07,1.8407194721943187e-08
monkeyM_session-o080430013-23_lfp-1,1,embedding,0.0,0.0
monkeyM_session-o080430013-23_lfp-1,2,ar,3.1967735502356e-08,6.763129016153543e-09
monkeyM_session-o080430013-23_lfp-1,2,embedding,0.0,0.0
monkeyM_session-o080430013-23_lfp-1,3,ar,1.5652446707346574e-07,3.1978880594235434e-08
monkeyM_session-o080430013-23_lfp-1,3,embedding,0.0,0.0
monkeyM_session-o080430013-23_lfp-1,4,ar,6.733611756311493e-08,1.3167576214985743e-08
monkeyM_session-o080430013-23_lfp-1,4,embedding,0.0,0.0
monkeyM_session-o080430013-23_lfp-2,0,ar,3.459649343439189e-08,6.953116933964705e-09
monkeyM_session-o080430013-23_lfp-2,0,embedding,0.0,0.0
monkeyM_session-o080430013-23_lfp-2,1,ar,7.182545773269135e-08,1.136396903148414e-08
monkeyM_session-o080430013-23_lfp-2,1,embedding,0.0,0.0
monkeyM_session-o080430013-23_lfp-2,2,ar,6.852976754275451e-08,1.2049175250812013e-08
monkeyM_session-o080430013-23_lfp-2,2,embedding,0.0,0.0
monkeyM_session-o080430013-23_lfp-2,3,ar,8.928911379333607e-08,1.5336606912610037e-08
monkeyM_session-o080430013-23_lfp-2,3,embedding,0.0,0.0
monkeyM_session-o080430013-23_lfp-2,4,ar,1.60081029369763e-08,2.883426883396176e-09
monkeyM_session-o080430013-23_lfp-2,4,embedding,0.0,0.0
monkeyM_session-o080506002-22_lfp-1,0,ar,1.3048477999402092e-07,2.6705115901196254e-08
monkeyM_session-o080506002-22_lfp-1,0,embedding,0.0,0.0
monkeyM_session-o080506002-22_lfp-1,1,ar,2.0386656775879183e-07,3.7069163393534996e-08
monkeyM_session-o080506002-22_lfp-1,1,embedding,0.0,0.0
monkeyM_session-o080506002-22_lfp-1,2,ar,1.0942320465261862e-07,2.165434867608651e-08
monkeyM_session-o080506002-22_lfp-1,2,embedding,0.0,0.0
monkeyM_session-o080506002-22_lfp-1,3,ar,2.028264536403689e-07,3.163793917659319e-08
monkeyM_session-o080506002-22_lfp-1,3,embedding,0.0,0.0
monkeyM_session-o080506002-22_lfp-1,4,ar,1.9057161535971073e-07,3.509814388188494e-08
monkeyM_session-o080506002-22_lfp-1,4,embedding,0.0,0.0
monkeyM_session-o080506002-22_lfp-2,0,ar,1.2779272664500876e-07,1.7716749068834247e-08
monkeyM_session-o080506002-22_lfp-2,0,embedding,0.0,0.0
monkeyM_session-o080506002-22_lfp-2,1,ar,3.1795671366738505e-08,5.498000125668118e-09
monkeyM_session-o080506002-22_lfp-2,1,embedding,0.0,0.0
monkeyM_session-o080506002-22_lfp-2,2,ar,1.9187150887873422e-07,3.032993313506119e-08
monkeyM_session-o080506002-22_lfp-2,2,embedding,0.0,0.0
monkeyM_session-o080506002-22_lfp-2,3,ar,4.4882449402167384e-08,5.830664894247318e-09
monkeyM_session-o080506002-22_lfp-2,3,embedding,0.0,0.0
monkeyM_session-o080506002-22_lfp-2,4,ar,9.666123829826789e-08,1.5364763661194117e-08
monkeyM_session-o080506002-22_lfp-2,4,embedding,0.0,0.0
monkeyM_session-o080507002-11_lfp-1,0,ar,2.5029444729600565e-08,5.585001070582549e-09
monkeyM_session-o080507002-11_lfp-1,0,embedding,0.0,0.0
monkeyM_session-o080507002-11_lfp-1,1,ar,5.0569429872152506e-08,1.1895189498342056e-08
monkeyM_session-o080507002-11_lfp-1,1,embedding,0.0,0.0
monkeyM_session-o080507002-11_lfp-1,2,ar,1.1693869885306052e-07,2.6558705153672822e-08
monkeyM_session-o080507002-11_lfp-1,2,embedding,0.0,0.0
monkeyM_session-o080507002-11_lfp-1,3,ar,1.1454043136085567e-07,2.0705182012331695e-08
monkeyM_session-o080507002-11_lfp-1,3,embedding,0.0,0.0
monkeyM_session-o080507002-11_lfp-1,4,ar,9.70580606780738e-08,2.3449314518575836e-08
monkeyM_session-o080507002-11_lfp-1,4,embedding,0.0,0.0
monkeyM_session-o080507012-23_lfp-1,0,ar,8.111278167031609e-08,1.8635834973111087e-08
monkeyM_session-o080507012-23_lfp-1,0,embedding,0.0,0.0
monkeyM_session-o080507012-23_lfp-1,1,ar,1.657340819224691e-08,3.61652621411869e-09
monkeyM_session-o080507012-23_lfp-1,1,embedding,0.0,0.0
monkeyM_session-o080507012-23_lfp-1,2,ar,3.703379040519324e-08,8.303826208378132e-09
monkeyM_session-o080507012-23_lfp-1,2,embedding,0.0,0.0
monkeyM_session-o080507012-23_lfp-1,3,ar,6.144853826738506e-08,1.267722902893514e-08
monkeyM_session-o080507012-23_lfp-1,3,embedding,0.0,0.0
monkeyM_session-o080507012-23_lfp-1,4,ar,1.0224878732470553e-07,1.978007770560381e-08
monkeyM_session-o080507012-23_lfp-1,4,embedding,0.0,0.0
monkeyM_session-o080507012-23_lfp-2,0,ar,2.1420316104192594e-08,3.688768767425435e-09
monkeyM_session-o080507012-23_lfp-2,0,embedding,0.0,0.0
monkeyM_session-o080507012-23_lfp-2,1,ar,1.8040543168281603e-08,3.904327094281457e-09
monkeyM_session-o080507012-23_lfp-2,1,embedding,0.0,0.0
monkeyM_session-o080507012-23_lfp-2,2,ar,3.1114232300539536e-08,5.98273562030061e-09
monkeyM_session-o080507012-23_lfp-2,2,embedding,0.0,0.0
monkeyM_session-o080507012-23_lfp-2,3,ar,5.118263882294624e-08,8.250460440530684e-09
monkeyM_session-o080507012-23_lfp-2,3,embedding,0.0,0.0
monkeyM_session-o080507012-23_lfp-2,4,ar,2.4292054576864272e-08,5.211993101669867e-09
monkeyM_session-o080507012-23_lfp-2,4,embedding,0.0,0.0
monkeyM_session-o080509001-9_lfp-1,0,ar,7.267830750255517e-09,1.6702509435335644e-09
monkeyM_session-o080509001-9_lfp-1,0,embedding,0.0,0.0
monkeyM_session-o080509001-9_lfp-1,1,ar,1.0676714243002677e-07,1.785441533571065e-08
monkeyM_session-o080509001-9_lfp-1,1,embedding,0.0,0.0
monkeyM_session-o080509001-9_lfp-1,2,ar,4.720190357066639e-09,9.592807725026568e-10
monkeyM_session-o080509001-9_lfp-1,2,embedding,0.0,0.0
monkeyM_session-o080509001-9_lfp-1,3,ar,1.8364320789911442e-08,3.4596555711339397e-09
monkeyM_session-o080509001-9_lfp-1,3,embedding,0.0,0.0
monkeyM_session-o080509001-9_lfp-1,4,ar,1.3840580626034438e-08,2.892148280999389e-09
monkeyM_session-o080509001-9_lfp-1,4,embedding,0.0,0.0
monkeyM_session-o080509010-19_lfp-1,0,ar,7.7151092116594e-08,1.6321715455934056e-08
monkeyM_session-o080509010-19_lfp-1,0,embedding,0.0,0.0
monkeyM_session-o080509010-19_lfp-1,1,ar,1.3510913761838762e-07,2.8495005349749628e-08
monkeyM_session-o080509010-19_lfp-1,1,embedding,0.0,0.0
monkeyM_session-o080509010-19_lfp-1,2,ar,3.3672045338735586e-08,7.384094661935231e-09
monkeyM_session-o080509010-19_lfp-1,2,embedding,0.0,0.0
monkeyM_session-o080509010-19_lfp-1,3,ar,3.8601037813433894e-08,6.904041947727653e-09
monkeyM_session-o080509010-19_lfp-1,3,embedding,0.0,0.0
monkeyM_session-o080509010-19_lfp-1,4,ar,3.968321939367553e-08,6.910350880052795e-09
monkeyM_session-o080509010-19_lfp-1,4,embedding,0.0,0.0
monkeyM_session-o080513001-9_lfp-1,0,ar,3.449268946511966e-08,6.582368835639154e-09
monkeyM_session-o080513001-9_lfp-1,0,embedding,0.0,0.0
monkeyM_session-o080513001-9_lfp-1,1,ar,8.75306019352878e-08,1.570768263226555e-08
monkeyM_session-o080513001-9_lfp-1,1,embedding,0.0,0.0
monkeyM_session-o080513001-9_lfp-1,2,ar,2.0721427704132114e-08,3.7181866274960486e-09
monkeyM_session-o080513001-9_lfp-1,2,embedding,0.0,0.0
monkeyM_session-o080513001-9_lfp-1,3,ar,9.062376936694967e-08,1.6811359789082665e-08
monkeyM_session-o080513001-9_lfp-1,3,embedding,0.0,0.0
monkeyM_session-o080513001-9_lfp-1,4,ar,1.4393455397292056e-07,2.5316440456237642e-08
monkeyM_session-o080513001-9_lfp-1,4,embedding,0.0,0.0
monkeyM_session-o080513001-9_lfp-2,0,ar,8.478606381800806e-08,1.6843816763149226e-08
monkeyM_session-o080513001-9_lfp-2,0,embedding,0.0,0.0
monkeyM_session-o080513001-9_lfp-2,1,ar,4.353125625483449e-08,9.617823670033436e-09
monkeyM_session-o080513001-9_lfp-2,1,embedding,0.0,0.0
monkeyM_session-o080513001-9_lfp-2,2,ar,1.1236637825060209e-07,2.0722886623227592e-08
monkeyM_session-o080513001-9_lfp-2,2,embedding,0.0,0.0
monkeyM_session-o080513001-9_lfp-2,3,ar,1.1481688944972612e-07,2.0500661703876796e-08
monkeyM_session-o080513001-9_lfp-2,3,embedding,0.0,0.0
monkeyM_session-o080513001-9_lfp-2,4,ar,5.453843426731549e-08,1.0965680687690966e-08
monkeyM_session-o080513001-9_lfp-2,4,embedding,0.0,0.0
monkeyM_session-o080513010-18_lfp-1,0,ar,1.025899522508764e-07,1.756907846884076e-08
monkeyM_session-o080513010-18_lfp-1,0,embedding,0.0,0.0
monkeyM_session-o080513010-18_lfp-1,1,ar,7.45546034075506e-08,1.339842141867159e-08
monkeyM_session-o080513010-18_lfp-1,1,embedding,0.0,0.0
monkeyM_session-o080513010-18_lfp-1,2,ar,3.4474512941844865e-08,6.659339380586724e-09
monkeyM_session-o080513010-18_lfp-1,2,embedding,0.0,0.0
monkeyM_session-o080513010-18_lfp-1,3,ar,3.4995362334540314e-08,6.09136935978371e-09
monkeyM_session-o080513010-18_lfp-1,3,embedding,0.0,0.0
monkeyM_session-o080513010-18_lfp-1,4,ar,4.585938436938927e-09,8.344032202042077e-10
monkeyM_session-o080513010-18_lfp-1,4,embedding,0.0,0.0
monkeyM_session-o080513010-18_lfp-2,0,ar,1.1683918493452482e-07,1.543150178764251e-08
monkeyM_session-o080513010-18_lfp-2,0,embedding,0.0,0.0
monkeyM_session-o080513010-18_lfp-2,1,ar,2.4005193561453878e-08,4.296555942488575e-09
monkeyM_session-o080513010-18_lfp-2,1,embedding,0.0,0.0
monkeyM_session-o080513010-18_lfp-2,2,ar,3.911018219281441e-08,5.774953904784676e-09
monkeyM_session-o080513010-18_lfp-2,2,embedding,0.0,0.0
monkeyM_session-o080513010-18_lfp-2,3,ar,5.707541366937151e-08,8.19710686653345e-09
monkeyM_session-o080513010-18_lfp-2,3,embedding,0.0,0.0
monkeyM_session-o080513010-18_lfp-2,4,ar,8.199977462352345e-08,1.60510452650625e-08
monkeyM_session-o080513010-18_lfp-2,4,embedding,0.0,0.0
monkeyM_session-o080515002-11_lfp-1,0,ar,1.8852211907039633e-08,3.945038441256827e-09
monkeyM_session-o080515002-11_lfp-1,0,embedding,0.0,0.0
monkeyM_session-o080515002-11_lfp-1,1,ar,5.081280541100429e-08,1.120458444985083e-08
monkeyM_session-o080515002-11_lfp-1,1,embedding,0.0,0.0
monkeyM_session-o080515002-11_lfp-1,2,ar,3.026516005952967e-08,6.409747016896762e-09
monkeyM_session-o080515002-11_lfp-1,2,embedding,0.0,0.0
monkeyM_session-o080515002-11_lfp-1,3,ar,8.910537201264803e-08,1.373822571878437e-08
monkeyM_session-o080515002-11_lfp-1,3,embedding,0.0,0.0
monkeyM_session-o080515002-11_lfp-1,4,ar,3.2484897837142845e-08,7.265904840938728e-09
monkeyM_session-o080515002-11_lfp-1,4,embedding,0.0,0.0
monkeyM_session-o080515002-11_lfp-2,0,ar,3.2765500673174065e-08,7.250688976700321e-09
monkeyM_session-o080515002-11_lfp-2,0,embedding,0.0,0.0
monkeyM_session-o080515002-11_lfp-2,1,ar,4.600951154006688e-08,8.866528479561121e-09
monkeyM_session-o080515002-11_lfp-2,1,embedding,0.0,0.0
monkeyM_session-o080515002-11_lfp-2,2,ar,8.180875511826983e-08,1.5619097739535523e-08
monkeyM_session-o080515002-11_lfp-2,2,embedding,0.0,0.0
monkeyM_session-o080515002-11_lfp-2,3,ar,4.6506114104150585e-08,9.497934237088859e-09
monkeyM_session-o080515002-11_lfp-2,3,embedding,0.0,0.0
monkeyM_session-o080515002-11_lfp-2,4,ar,6.49211223374471e-08,1.3290766038380043e-08
monkeyM_session-o080515002-11_lfp-2,4,embedding,0.0,0.0
monkeyM_session-o080515012-24_lfp-1,0,ar,2.9231867289063705e-07,4.7920755592278286e-08
monkeyM_session-o080515012-24_lfp-1,0,embedding,0.0,0.0
monkeyM_session-o080515012-24_lfp-1,1,ar,2.4161384456388357e-08,4.343802218063363e-09
monkeyM_session-o080515012-24_lfp-1,1,embedding,0.0,0.0
monkeyM_session-o080515012-24_lfp-1,2,ar,1.693148161780681e-07,3.1739431764810757e-08
monkeyM_session-o080515012-24_lfp-1,2,embedding,0.0,0.0
monkeyM_session-o080515012-24_lfp-1,3,ar,1.7502447284783833e-08,3.60022729892007e-09
monkeyM_session-o080515012-24_lfp-1,3,embedding,0.0,0.0
monkeyM_session-o080515012-24_lfp-1,4,ar,1.1128821538012321e-07,1.9327314435409414e-08
monkeyM_session-o080515012-24_lfp-1,4,embedding,0.0,0.0
monkeyM_session-o080515012-24_lfp-2,0,ar,2.525750237024381e-07,3.8079429793025896e-08
monkeyM_session-o080515012-24_lfp-2,0,embedding,0.0,0.0
monkeyM_session-o080515012-24_lfp-2,1,ar,1.1693769785185801e-07,1.988619223332628e-08
monkeyM_session-o080515012-24_lfp-2,1,embedding,0.0,0.0
monkeyM_session-o080515012-24_lfp-2,2,ar,5.626858404233657e-08,1.1842512779180323e-08
monkeyM_session-o080515012-24_lfp-2,2,embedding,0.0,0.0
monkeyM_session-o080515012-24_lfp-2,3,ar,1.2465225296301279e-07,2.2443294785812187e-08
monkeyM_session-o080515012-24_lfp-2,3,embedding,0.0,0.0
monkeyM_session-o080515012-24_lfp-2,4,ar,7.69753503906262e-08,1.0184880832675222e-08
monkeyM_session-o080515012-24_lfp-2,4,embedding,0.0,0.0
monkeyM_session-o080522005-11_lfp-1,0,ar,4.8949156467937086e-08,8.133238550209025e-09
monkeyM_session-o080522005-11_lfp-1,0,embedding,0.0,0.0
monkeyM_session-o080522005-11_lfp-1,1,ar,7.946897323480922e-08,1.4456886314464343e-08
monkeyM_session-o080522005-11_lfp-1,1,embedding,0.0,0.0
monkeyM_session-o080522005-11_lfp-1,2,ar,1.2072366469044688e-07,1.9314618154870537e-08
monkeyM_session-o080522005-11_lfp-1,2,embedding,0.0,0.0
monkeyM_session-o080522005-11_lfp-1,3,ar,9.071038640248805e-08,1.55549588905293e-08
monkeyM_session-o080522005-11_lfp-1,3,embedding,0.0,0.0
monkeyM_session-o080522005-11_lfp-1,4,ar,2.1069718329313862e-08,3.5891846978154913e-09
monkeyM_session-o080522005-11_lfp-1,4,embedding,0.0,0.0
monkeyM_session-o080522005-11_lfp-2,0,ar,2.255710072218307e-08,4.542877963737237e-09
monkeyM_session-o080522005-11_lfp-2,0,embedding,0.0,0.0
monkeyM_session-o080522005-11_lfp-2,1,ar,7.15703545897629e-08,1.3241293735627526e-08
monkeyM_session-o080522005-11_lfp-2,1,embedding,0.0,0.0
monkeyM_session-o080522005-11_lfp-2,2,ar,7.880757418896685e-08,1.6288139306407847e-08
monkeyM_session-o080522005-11_lfp-2,2,embedding,0.0,0.0
monkeyM_session-o080522005-11_lfp-2,3,ar,6.350758934470409e-09,1.4169326541438746e-09
monkeyM_session-o080522005-11_lfp-2,3,embedding,0.0,0.0
monkeyM_session-o080522005-11_lfp-2,4,ar,8.342616337927685e-08,1.739260155696791e-08
monkeyM_session-o080522005-11_lfp-2,4,embedding,0.0,0.0
monkeyM_session-o080522012-21_lfp-1,0,ar,2.687763852129467e-08,5.32525364063357e-09
monkeyM_session-o080522012-21_lfp-1,0,embedding,0.0,0.0
monkeyM_session-o080522012-21_lfp-1,1,ar,1.7742397572493868e-07,3.001660018505198e-08
monkeyM_session-o080522012-21_lfp-1,1,embedding,0.0,0.0
monkeyM_session-o080522012-21_lfp-1,2,ar,5.0873560727038476e-08,1.0091144678787139e-08
monkeyM_session-o080522012-21_lfp-1,2,embedding,0.0,0.0
monkeyM_session-o080522012-21_lfp-1,3,ar,1.0127800911222291e-07,1.990001285923619e-08
monkeyM_session-o080522012-21_lfp-1,3,embedding,0.0,0.0
monkeyM_session-o080522012-21_lfp-1,4,ar,4.718855880174585e-08,8.57581282285912e-09
monkeyM_session-o080522012-21_lfp-1,4,embedding,0.0,0.0
monkeyM_session-o080522012-21_lfp-2,0,ar,3.5436372948039006e-08,6.5232984862565355e-09
monkeyM_session-o080522012-21_lfp-2,0,embedding,0.0,0.0
monkeyM_session-o080522012-21_lfp-2,1,ar,6.883238033917509e-08,1.1791343960168504e-08
monkeyM_session-o080522012-21_lfp-2,1,embedding,0.0,0.0
monkeyM_session-o080522012-21_lfp-2,2,ar,4.910642186200381e-08,7.011433265253562e-09
monkeyM_session-o080522012-21_lfp-2,2,embedding,0.0,0.0
monkeyM_session-o080522012-21_lfp-2,3,ar,4.110612931767718e-08,7.181545214840797e-09
monkeyM_session-o080522012-21_lfp-2,3,embedding,0.0,0.0
monkeyM_session-o080522012-21_lfp-2,4,ar,6.702389005819667e-08,1.3180809228111984e-08
monkeyM_session-o080522012-21_lfp-2,4,embedding,0.0,0.0
monkeyM_session-o080523010-18_lfp-4,0,ar,1.1121276824238233e-07,2.5413677774974883e-08
monkeyM_session-o080523010-18_lfp-4,0,embedding,0.0,0.0
